epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3760.33,1.05205,0.48481,1.04533,0.97874,0.95781,0.98262,0.70832,1.07477,0.41267,1.04814,0.005842,0.005842,0.005842
44,3845.08,1.04638,0.48655,1.04029,0.97333,0.95828,0.98206,0.7036,1.07407,0.41826,1.04954,0.005743,0.005743,0.005743
45,3929.83,1.04641,0.48695,1.04385,0.97829,0.96203,0.98505,0.71426,1.06932,0.41574,1.04744,0.005644,0.005644,0.005644
46,4014.64,1.04477,0.48379,1.04211,0.97856,0.95781,0.98226,0.70852,1.07606,0.41396,1.04516,0.005545,0.005545,0.005545
47,4099.43,1.04404,0.47529,1.0426,0.9775,0.95708,0.98323,0.71231,1.06791,0.41303,1.04234,0.005446,0.005446,0.005446
48,4184.21,1.0367,0.481,1.04038,0.98034,0.95866,0.98456,0.71425,1.07028,0.4042,1.04048,0.005347,0.005347,0.005347
49,4268.95,1.03785,0.47545,1.03563,0.97479,0.96343,0.98443,0.71198,1.06712,0.40675,1.04479,0.005248,0.005248,0.005248
50,4353.7,1.03401,0.47057,1.0374,0.97488,0.96438,0.982,0.70828,1.06923,0.40055,1.04214,0.005149,0.005149,0.005149
51,4438.53,1.02962,0.4702,1.03144,0.98345,0.96015,0.98526,0.7144,1.06395,0.3953,1.03946,0.00505,0.00505,0.00505
52,4523.34,1.02815,0.46521,1.03141,0.98131,0.96249,0.98489,0.71318,1.06217,0.39403,1.04531,0.004951,0.004951,0.004951
53,4608.11,1.03304,0.46833,1.0358,0.97983,0.96249,0.98423,0.71363,1.06592,0.39696,1.04466,0.004852,0.004852,0.004852
54,4692.88,1.02104,0.46013,1.03246,0.98505,0.95781,0.9849,0.71922,1.05333,0.39431,1.03409,0.004753,0.004753,0.004753
55,4777.7,1.01081,0.45708,1.0289,0.97756,0.9599,0.98327,0.71504,1.05881,0.39195,1.04092,0.004654,0.004654,0.004654
56,4862.54,1.03251,0.46032,1.03194,0.97244,0.96343,0.98311,0.71999,1.05295,0.3969,1.03805,0.004555,0.004555,0.004555
57,4947.36,1.0063,0.45228,1.02015,0.97809,0.96289,0.98473,0.71946,1.0572,0.38845,1.03491,0.004456,0.004456,0.004456
58,5032.14,1.01497,0.45707,1.02517,0.97627,0.96484,0.98444,0.71971,1.0505,0.38821,1.03831,0.004357,0.004357,0.004357
59,5141.11,1.00764,0.45258,1.02597,0.98079,0.96484,0.98477,0.72009,1.05484,0.38513,1.03712,0.004258,0.004258,0.004258
60,5225.66,1.01989,0.45291,1.02789,0.9791,0.96648,0.98542,0.71691,1.06067,0.39016,1.03954,0.004159,0.004159,0.004159
61,5311.06,1.00148,0.44599,1.02387,0.97585,0.96812,0.98447,0.72397,1.05343,0.383,1.03618,0.00406,0.00406,0.00406
62,5397.13,1.01298,0.44928,1.02596,0.98095,0.96564,0.98519,0.71949,1.0599,0.38427,1.03947,0.003961,0.003961,0.003961
63,5483.76,0.99776,0.44368,1.02169,0.97772,0.96689,0.98487,0.7239,1.04633,0.37722,1.03674,0.003862,0.003862,0.003862
64,5570.78,1.00127,0.44414,1.02131,0.97868,0.96845,0.98649,0.72114,1.0534,0.38214,1.04064,0.003763,0.003763,0.003763
65,5658.06,0.99413,0.43877,1.01995,0.98026,0.96906,0.98633,0.72123,1.05255,0.37846,1.03531,0.003664,0.003664,0.003664
66,5745.65,0.9918,0.43724,1.02227,0.9777,0.96906,0.98509,0.72235,1.04275,0.3778,1.03272,0.003565,0.003565,0.003565
67,5833.25,0.99821,0.43353,1.01984,0.98422,0.96506,0.98578,0.72813,1.04132,0.37453,1.0308,0.003466,0.003466,0.003466
68,5921.12,0.98925,0.43362,1.01588,0.98883,0.96203,0.98546,0.72363,1.04398,0.37044,1.0296,0.003367,0.003367,0.003367
69,6009.05,0.99222,0.43339,1.01595,0.98604,0.96003,0.98638,0.7257,1.04427,0.37108,1.02963,0.003268,0.003268,0.003268
70,6097.02,0.98629,0.42847,1.01125,0.98005,0.96738,0.98634,0.72709,1.04511,0.36838,1.02889,0.003169,0.003169,0.003169
71,6185.07,0.9857,0.42879,1.01519,0.98171,0.96484,0.98685,0.72624,1.04284,0.36731,1.02921,0.00307,0.00307,0.00307
72,6273.55,0.98654,0.42594,1.01281,0.9834,0.96624,0.98565,0.72519,1.04652,0.36856,1.03238,0.002971,0.002971,0.002971
73,6363.82,0.97943,0.42339,1.0102,0.97673,0.9714,0.98565,0.72471,1.04505,0.36764,1.03309,0.002872,0.002872,0.002872
74,6454,0.97712,0.42141,1.01595,0.98658,0.96525,0.98632,0.72394,1.04514,0.36814,1.03164,0.002773,0.002773,0.002773
75,6542.63,0.97363,0.42056,1.01347,0.98608,0.9631,0.9862,0.72429,1.04484,0.36547,1.02928,0.002674,0.002674,0.002674
76,6631.2,0.96683,0.41611,1.00668,0.98133,0.96531,0.98546,0.72306,1.04582,0.36587,1.03214,0.002575,0.002575,0.002575
77,6719.83,0.96031,0.41404,1.01196,0.97794,0.96953,0.98603,0.72383,1.04275,0.36488,1.03133,0.002476,0.002476,0.002476
78,6808.48,0.95612,0.41058,1.00563,0.98391,0.96531,0.98638,0.72545,1.04233,0.36604,1.03011,0.002377,0.002377,0.002377
79,6897.08,0.96423,0.4103,1.0054,0.97404,0.97046,0.98626,0.72608,1.0418,0.3657,1.0289,0.002278,0.002278,0.002278
80,6986.49,0.95233,0.40768,0.99851,0.98156,0.96437,0.98632,0.72703,1.04116,0.36424,1.02876,0.002179,0.002179,0.002179
81,7075.15,0.94945,0.40772,1.00376,0.97956,0.96629,0.98552,0.72459,1.04185,0.36304,1.02934,0.00208,0.00208,0.00208
82,7163.71,0.95547,0.40456,1.00269,0.98279,0.96531,0.98612,0.72696,1.04586,0.36326,1.03088,0.001981,0.001981,0.001981
83,7252.42,0.94556,0.39974,1.00285,0.97907,0.96531,0.98591,0.72525,1.0453,0.36312,1.03203,0.001882,0.001882,0.001882
84,7340.92,0.95319,0.40393,1.00419,0.97817,0.96631,0.98583,0.72531,1.04449,0.36304,1.03266,0.001783,0.001783,0.001783
85,7429.39,0.93654,0.3963,0.99766,0.97685,0.96924,0.98633,0.7263,1.04545,0.36185,1.03237,0.001684,0.001684,0.001684
86,7517.87,0.93626,0.39193,0.9977,0.97912,0.96738,0.987,0.72606,1.04699,0.36311,1.03133,0.001585,0.001585,0.001585
87,7606.31,0.93271,0.3938,0.99487,0.97876,0.9714,0.98709,0.72734,1.04666,0.36223,1.03174,0.001486,0.001486,0.001486
88,7694.91,0.93172,0.39228,0.99443,0.98055,0.96898,0.98675,0.72678,1.04594,0.3607,1.03153,0.001387,0.001387,0.001387
89,7783.48,0.93586,0.38977,0.99626,0.9829,0.96985,0.98724,0.72789,1.04344,0.35924,1.03007,0.001288,0.001288,0.001288
90,7872.06,0.92652,0.38704,0.99404,0.9787,0.96906,0.9871,0.72761,1.04353,0.35843,1.03048,0.001189,0.001189,0.001189
91,7961.46,0.91825,0.35274,1.00057,0.9783,0.97248,0.98693,0.72658,1.03821,0.36,1.03211,0.00109,0.00109,0.00109
92,8049.58,0.91063,0.34682,0.99904,0.97968,0.97207,0.98694,0.72639,1.03902,0.35969,1.03344,0.000991,0.000991,0.000991
93,8137.62,0.90361,0.34347,0.99272,0.98153,0.97167,0.98712,0.72662,1.03896,0.35952,1.0338,0.000892,0.000892,0.000892
94,8225.61,0.89723,0.34305,0.99216,0.98147,0.96812,0.98681,0.72773,1.03893,0.36007,1.0339,0.000793,0.000793,0.000793
95,8313.61,0.89488,0.34054,0.98851,0.98149,0.96974,0.98661,0.72773,1.03909,0.35875,1.0338,0.000694,0.000694,0.000694
96,8401.58,0.89016,0.33866,0.98687,0.982,0.96765,0.98673,0.72803,1.03932,0.35875,1.03384,0.000595,0.000595,0.000595
97,8489.52,0.88832,0.33275,0.98426,0.98199,0.96859,0.98667,0.72783,1.03952,0.35845,1.03322,0.000496,0.000496,0.000496
98,8577.35,0.88181,0.33138,0.98388,0.98099,0.96953,0.98681,0.72686,1.04055,0.35882,1.03311,0.000397,0.000397,0.000397
99,8665.25,0.8775,0.32747,0.98034,0.98013,0.97133,0.98701,0.7272,1.04072,0.35917,1.03223,0.000298,0.000298,0.000298
100,8753.2,0.87433,0.32777,0.98206,0.9807,0.97093,0.98722,0.72699,1.04227,0.3598,1.03236,0.000199,0.000199,0.000199
